gene,outcome,gsmr_beta,gsmr_se,gsmr_pval,gsmr_nsnp,heidi_out,Q_MR_Egger,Q_Inverse_variance_weighted,Q_df_MR_Egger,Q_df_Inverse_variance_weighted,Q_pval_MR_Egger,Q_pval_Inverse_variance_weighted,nsnp,b_MR_Egger,b_Weighted_median,b_Inverse_variance_weighted,b_Simple_mode,se_MR_Egger,se_Weighted_median,se_Inverse_variance_weighted,se_Simple_mode,pval_MR_Egger,pval_Weighted_median,pval_Inverse_variance_weighted,pval_Simple_mode,r2_exposure,r2_oucome,correct_dir,steiger_pval,H3,H4,causal_snp,pleiotropy_egger_intercept,pleiotropy_se,pleiotropy_pval,mrpresso_pval,adjp_MR_Egger,adjp_Weighted_median,adjp_Inverse_variance_weighted,adjp_Simple_mode,is_candidate
UBE3C,T2D_GSMR,0.0476499,0.0110975,1.75678e-5,12,2.85884250515464e-4,62.88125,62.8845,12,13,0,0,14,0.0578964,0.0588886,0.0571283,0.0976611,0.0383063,0.0141565,0.0218523,0.0393612,0.1565631,3.18e-5,0.0089412,0.02755,0.0773825,1.316e-4,TRUE,0,1,3.0140810261003598e-34,rs7807,-1.575e-4,0.0063202,0.9805291,<0.001,0.38026127725040915,1.3293295774647888e-4,0.014858612318029115,0.14345745555555556,FALSE
UBE2L3,T2D_GSMR,0.0181314,0.00572984,0.00155408,22,0.011822242313253012,49.72919,51.4152,18,19,8.29e-5,8.09e-5,20,0.0319906,0.0217808,0.0232254,0.0194718,0.0138719,0.0073465,0.0080728,0.0092517,0.0332122,0.0030291,0.0040149,0.0488587,0.3027414,9.91e-5,TRUE,0,0.646317923647645,0.00634378521351837,rs2070512,-0.0032861,0.0042066,0.444841,0.002,0.20908143734439835,0.00562807,0.007717761139896373,0.16608326287015945,FALSE
UBE2Q2,T2D_GSMR,0.0439343,0.0156429,0.00497608,8,0.029127598071693447,48.08575,57.932,10,11,6e-7,0,12,-0.0043737,0.0689433,0.0567621,0.0825592,0.0499972,0.0171083,0.027178,0.0316357,0.9320185,5.58e-5,0.03675,0.0242712,0.0491666,1.069e-4,TRUE,0,0.988236848021506,4.124770249416e-4,rs78911138,0.0089605,0.0062619,0.1829407,<0.001,0.9651887327285416,2.1452642487046632e-4,0.04796569920844327,0.1406971125,FALSE
UBE2O,T2D_GSMR,0.0472282,0.0175534,0.0071335,11,0.038606502,5.075762,5.127252,7,8,0.650718,0.7438927,9,0.0576309,0.0604385,0.0512879,0.0645925,0.0316987,0.0178057,0.0149477,0.0302148,0.111882,6.88e-4,6.01e-4,0.0650015,0.0327724,2.48e-5,TRUE,0,0.00316382209908785,0.0536284496531671,rs394873,-0.0010115,0.0044576,0.8269747,0.714,0.31990922543352596,0.0017188417508417508,0.0017184662813102118,0.18730208217054264,FALSE
UBR1,T2D_GSMR,0.0913977,0.0229174,6.65959e-5,6,8.703430969655172e-4,11.9335,12.04267,4,5,0.0178527,0.0342078,6,0.0827228,0.0576459,0.098016,0.0566305,0.0873779,0.0271576,0.0316787,0.0372782,0.3973871,0.0337839,0.0019743,0.1891951,0.015383,4.68e-5,TRUE,0,0.985654248279029,7.10683626032588e-5,rs62020705,0.0018898,0.0098794,0.8576178,0.085,0.6260526539278132,0.04310860498710232,0.004353434175334324,0.29868673234042553,FALSE
UBR3,T2D_GSMR,0.0538428,0.0171827,0.00172706,5,0.0127642779875195,3.855981,13.403255,4,5,0.4258474,0.0198791,6,-0.0514751,0.0569855,0.0668794,0.0557005,0.0411782,0.0182371,0.0247463,0.0282073,0.2794213,0.0017799,0.0068798,0.1052915,0.029955,4.38e-5,TRUE,0,0.00880896023447844,0.00566279930214952,rs10168942,0.0212148,0.0068659,0.0365791,0.073,0.5282308397452229,0.0036787905292479106,0.01199720705052879,0.22405806189111752,FALSE
UBXN6,T2D_GSMR,-0.0600794,0.0153413,8.99617e-5,12,0.0011360363476,11.90909,14.60429,9,10,0.2184831,0.1471686,11,-0.022902,-0.0716008,-0.0571403,-0.0842715,0.027809,0.0184956,0.0147756,0.0400278,0.4314782,1.083e-4,1.101e-4,0.0615242,0.0477205,4.81e-5,TRUE,0,0.0304355492252175,0.471211453088521,rs8104459,-0.0056108,0.0039314,0.1872895,0.162,0.647515575,3.75507476635514e-4,4.415902702702703e-4,0.1815879045725646,FALSE
UHRF1BP1,T2D_GSMR,-0.0168941,0.00405084,3.03888e-5,46,4.5467981800947866e-4,149.2073,151.1637,59,60,0,0,61,-0.0067011,-0.008026,-0.0134096,-0.0261589,0.0093905,0.0061547,0.0054678,0.0133743,0.4782838,0.192214,0.0141875,0.055136,0.5301551,2.37e-4,TRUE,0,0.999997489243893,2.91513966223261e-8,rs7774697,-0.0023692,0.0026936,0.3826658,<0.001,0.6850969716489875,0.20565650757029558,0.021660751028806585,0.17520733190578158,FALSE
UPB1,T2D_GSMR,0.0429255,0.00743975,7.93935e-9,27,2.9487679941176467e-7,42.62586,42.72222,27,28,0.0285253,0.0370168,29,0.0373181,0.0349461,0.0341599,0.0313509,0.0155978,0.011116,0.0087861,0.0221043,0.0239561,0.0016678,1.011e-4,0.167133,0.1632616,1.338e-4,TRUE,0,0.0817561193881794,0.917994769977982,rs1008931,-7.823e-4,0.0031666,0.8067386,0.035,0.178269952,0.0035007287128712874,4.15602216066482e-4,0.28080704615384616,FALSE
UQCC,T2D_GSMR,-0.025621,0.00685247,1.84795e-4,29,0.002088536330548926,48.57672,61.00976,29,30,0.0127967,0.00069360000000000005,31,0.0116387,-0.0400685,-0.0391035,-0.0546502,0.0202131,0.0101261,0.0086534,0.020428,0.5691901,7.59e-5,6.2e-6,0.0119754,0.2356897,1.606e-4,TRUE,0,0.999977596192315,1.32196715190711e-6,rs4911178,-0.0134557,0.0049389,0.0107996,<0.001,0.7377101383406114,2.760676470588235e-4,4.0892444444444444e-5,0.11449485350318472,FALSE
UQCR10,T2D_GSMR,0.0790582,0.01894,2.99112e-5,6,4.4895241711568934e-4,5.328829,6.853675,3,4,0.1492426,0.1438258,5,-0.0171181,0.0301246,0.0621067,0.0465854,0.0900711,0.0273409,0.0278016,0.0443729,0.8614017,0.2705412,0.0254877,0.3530241,0.0154207,2.01e-5,TRUE,0,0.998703391717105,0.00114141966891229,rs2018808,0.0080187,0.0086546,0.4225122,0.213,0.9249783811866861,0.28534693731343286,0.0351521810408922,0.4563482268292683,FALSE
URM1,T2D_GSMR,-0.0430181,0.0143256,0.00267432,5,0.017988980625,24.76013,24.8088,5,6,1.55e-4,3.704e-4,7,-0.0416278,-0.0481722,-0.0441604,-0.0385459,0.0393538,0.0153687,0.0273538,0.0306754,0.338559,0.0017218,0.1064382,0.2556136,0.0419611,4.71e-5,TRUE,0,0.784068943449008,0.00406653230640768,rs60179712,-6.553e-4,0.0066102,0.9248812,0.018,0.5778199633447881,0.003598804507042253,0.12254017750193949,0.3657961257473481,FALSE
USMG5,T2D_GSMR,-0.025075,0.00509199,8.46198e-7,41,1.9788496933333334e-5,148.7225,148.7375,50,51,0,0,52,-0.0254436,-0.0147245,-0.0261611,-0.0148318,0.0122637,0.0076696,0.0068803,0.0178425,0.0431804,0.0548772,1.433e-4,0.4097001,0.5980172,2.658e-4,TRUE,0,0.999681071495633,2.3043008351285e-4,rs7917388,-2.257e-4,0.0031784,0.9436806,<0.001,0.23777208391608393,0.06594150995951417,5.452748717948718e-4,0.5118238552188552,FALSE
USP14,T2D_GSMR,0.0454131,0.0148715,0.00226031,7,0.015752314944812364,5.145314,5.161443,4,5,0.2727098,0.396497,6,0.0480914,0.0500834,0.0453045,0.0420303,0.0290525,0.0165204,0.0134274,0.0266227,0.1732005,0.0024325,7.408e-4,0.1752281,0.0466866,2.21e-5,TRUE,0,0.00209996188561023,0.0161997585377869,rs4797876,-6.058e-4,0.00541,0.9162338,0.477,0.4022371549295775,0.004719739947780678,0.0020320650646950093,0.2871399289966924,FALSE
URB1,T2D_GSMR,0.0264437,0.00955835,0.00566527,6,0.032071591255230125,4.269667,5.892728,4,5,0.3707389,0.3167974,6,0.0357102,0.0291035,0.0233719,0.0231404,0.0135647,0.0095746,0.0096237,0.027231000000000002,0.0580286,0.0023685,0.0151581,0.4342407,0.0868759,1.7e-5,TRUE,0,0.00450721889998885,0.048091608041005,rs7279896,-0.0048782,0.003956,0.2850487,0.416,0.256644214084507,0.004630901185770751,0.02283717807106599,0.5331546792390406,FALSE
USP36,T2D_GSMR,-0.0345156,0.00458522,5.16877e-14,44,5.207810709574468e-12,58.2721,60.37467,35,36,0.0080569,0.006659,37,-0.0236168,-0.027747,-0.0327242,-0.0370359,0.010024,0.0072089,0.0059206,0.0128483,0.0242015,1.186e-4,0,0.0066142,0.4117183,1.49e-4,TRUE,0,0.999124644910785,8.7533345609653e-4,rs8072569,-0.0028709,0.0025547,0.2687577,0.007,0.17868172139303481,4.0444942791762015e-4,0,0.08763815,FALSE
USP24,T2D_GSMR,-0.101427,0.0214241,2.19851e-6,5,4.627130713333334e-5,3.555974,4.009619,3,4,0.3135747,0.4047056,5,-0.0859063,-0.10005410000000001,-0.1053148,-0.1581343,0.0375681,0.0225407,0.0190054,0.0385538,0.1062799,9e-6,0,0.0148329,0.0190011,4.63e-5,TRUE,0,0.00924651354758908,0.302244816252428,rs1572035,-0.0036075,0.0058314,0.5799496,0.487,0.3160038504,4.393421052631579e-5,0,0.12269299777777777,FALSE
USP40,T2D_GSMR,0.0213795,0.00568657,1.70155e-4,13,0.0019652902500000005,24.46335,28.98388,12,13,0.0175809,0.0065805,14,0.0138978,0.0216767,0.0246577,0.0236523,0.0097388,0.0058471,0.0068283,0.0108992,0.1790603,2.095e-4,3.049e-4,0.0491187,0.2775495,8.41e-5,TRUE,0,0.999502107543675,8.54671259312309e-5,rs62192777,0.0053207,0.0035731,0.1622626,0.023,0.41007019320987653,6.426603696098563e-4,9.815002169197397e-4,0.16608326287015945,FALSE
USP48,T2D_GSMR,-0.0328965,0.00909988,3.0029e-4,23,0.0031391242715231786,29.56995,33.54196,18,19,0.0418433,0.020799,20,-0.0530102,-0.01721,-0.0273535,-0.0253876,0.0196337,0.012017,0.0110309,0.0198679,0.0146528,0.1521036,0.0131485,0.2167063,0.0940542,5.98e-5,TRUE,0,0.110127535244021,0.00908552054518807,rs16825896,0.0050126,0.0032236,0.1373644,0.026,0.1533052216216216,0.16584992094048495,0.020325389583333336,0.3271537631739573,FALSE
USP47,T2D_GSMR,0.0528112,0.0166337,0.00149865,13,0.011474304082457558,15.14224,16.76842,10,11,0.1269613,0.1149149,12,0.0186837,0.0461864,0.0489051,0.0909403,0.0330484,0.0171903,0.0156001,0.0449379,0.5843014,0.0072145,0.001719,0.0679843,0.0436262,4.67e-5,TRUE,0,0.00718445635101376,0.00297684098368434,rs1979687,0.0044402,0.0042847,0.324469,0.173,0.7426877135042734,0.011512169892473119,0.0038768936170212767,0.19179767279549717,FALSE
VCL,T2D_GSMR,-0.0326398,0.00931544,4.58597e-4,17,0.004413996125,54.64861,54.97338,16,17,4.1e-6,6.9e-6,18,-0.0378483,-0.0331276,-0.0322744,-0.0236045,0.0232537,0.0102593,0.014234,0.0223669,0.1231339,0.0012421,0.0233644,0.306042,0.1140107,1.046e-4,TRUE,0,0.32531518056458,0.0141496096671025,rs8255,0.0016412,0.0053224,0.7617861,<0.001,0.3377647090573013,0.0027552711509715995,0.03271016,0.4126284239782016,FALSE
UVSSA,T2D_GSMR,0.0138313,0.00535206,0.00975755,26,0.0487157385608856,166.5059,170.2933,27,28,0,0,29,0.0015781,0.0090422,0.0139863,0.0210399,0.0199833,0.0085456,0.0121076,0.0152668,0.9376394,0.2900021,0.2480201,0.1790727,0.3425663,2.733e-4,TRUE,0,0.999999999983629,1.0563512479030201e-14,rs3796618,0.0035326,0.0045077,0.4400473,<0.001,0.9696563551219513,0.30478974249291785,0.26460232092020125,0.28979704122137406,FALSE
VAMP5,T2D_GSMR,0.0217097,0.00682104,0.00145884,23,0.011233068,35.25416,36.63811,24,25,0.06472,0.0624599,26,0.0309264,0.0246289,0.0187911,0.017018,0.0147495,0.0089527,0.0078164,0.0150757,0.046731,0.0059411,0.0162146,0.2696841,0.1865953,6.69e-5,TRUE,0,0.0041856050231508,0.00652152946243722,rs10166612,-0.0031694,0.0032652,0.3414068,0.09,0.23905863092783503,0.009742091049723758,0.024232091037260827,0.3786293324503311,FALSE
VAT1,T2D_GSMR,-0.0441239,0.0109524,5.60862e-5,21,7.534643974468085e-4,33.49758,33.51247,19,20,0.0210485,0.0296181,21,-0.0480507,-0.0609646,-0.0497002,-0.0322809,0.0217561,0.0132803,0.0119814,0.0277052,0.0396857,4.4e-6,3.35e-5,0.2576647,0.0787485,8.36e-5,TRUE,0,0.965698290983367,0.0296086843776007,rs4520874,-3.36e-4,0.0036565,0.9277495,0.05,0.2298357992217899,2.4094464944649448e-5,1.6407260726072608e-4,0.3665580923371648,FALSE
VDR,T2D_GSMR,-0.0561431,0.0145528,1.14374e-4,12,0.001408629589076723,46.1151,47.83311,12,13,6.6e-6,7e-6,14,-0.0230563,-0.0313997,-0.0640628,-0.031274,0.0653303,0.018407,0.022027,0.0266388,0.7302707,0.0880358,0.0036331,0.2614526,0.052992,1.055e-4,TRUE,0,0.9999940820307,1.76286207640242e-6,rs7307566,-0.0052731,0.0078865,0.5163905,<0.001,0.8459966579234973,0.1009622312210201,0.007075486089238844,0.36951967466666663,FALSE
VIT,T2D_GSMR,0.0414315,0.0134132,0.00200916,9,0.014350493484162896,26.7208,28.64186,10,11,0.0028826,0.0025791,12,0.0124205,0.0319306,0.040232,-0.0105306,0.0373472,0.0131697,0.0176296,0.0378198,0.7463266,0.0153277,0.0224851,0.7858382,0.0511225,5.6e-5,TRUE,0,0.138799784484565,0.00864925587714831,rs4670616,0.0052363,0.0061756,0.4163251,0.018,0.8554574724324325,0.02165002093244529,0.03168840303893637,0.8371743638190955,FALSE
VNN3,T2D_GSMR,-0.0151682,0.00449273,7.35051e-4,59,0.0065250751855670105,68.91415,72.31561,61,62,0.2273936,0.1739698,63,-0.0052277,-0.0093791,-0.0162354,-0.0260387,0.0076389,0.0068095,0.0043239,0.0144897,0.4963453,0.1684035,1.735e-4,0.0771978,0.3753095,1.193e-4,TRUE,0,0.0326634666215203,0.00260740835114945,rs6569843,-0.0030386,0.0017512,0.0877598,0.176,0.6924055289473684,0.18215072448979594,6.29520782396088e-4,0.19879089879101897,FALSE
VPS26A,T2D_GSMR,-0.0677565,0.0128703,1.40525e-7,10,4.008771912650603e-6,11.13324,13.19651,9,10,0.2666868,0.2128911,11,-0.045054,-0.0446184,-0.0595672,-0.0591633,0.0169794,0.0154097,0.0131468,0.0230114,0.0263271,0.0037859,5.9e-6,0.0278408,0.076428,5.53e-5,TRUE,0,0.742245189429095,0.0304021862193686,rs10762257,-0.0036968,0.0028625,0.2287159,0.267,0.18216065488372093,0.006696395232419547,3.90875e-5,0.14345745555555556,FALSE
VOPP1,T2D_GSMR,0.0380218,0.0121342,0.00172778,12,0.0127642779875195,10.25358,11.37587,9,10,0.3303494,0.3289939,11,0.0473054,0.0342171,0.0336571,0.0414537,0.0177477,0.0135539,0.0112113,0.0218604,0.0258145,0.0115858,0.0026816,0.0871536,0.0664141,2.92e-5,TRUE,0,0.0419754397143486,0.0139510476704684,rs117042408,-0.0034383,0.0034642,0.346881,0.451,0.18216065488372093,0.017000158498023714,0.005565726433566434,0.20512549102362204,FALSE
VPS13C,T2D_GSMR,0.0792465,0.0136284,6.06995e-9,12,2.327469491902834e-7,70.29853,74.04386,11,12,0,0,13,-0.0112341,0.0748255,0.0407255,0.1015034,0.0795826,0.0307807,0.0408298,0.0556919,0.890293,0.0150606,0.3185487,0.0933639,0.0549075,1.426e-4,TRUE,0,1,3.7520115544094596e-19,rs7163326,0.0064907,0.0084785,0.4600604,<0.001,0.9396833655761024,0.021326269465648855,0.3343184376237624,0.2108858867579909,FALSE
VPS33B,T2D_GSMR,-0.0924942,0.00962004,6.92849e-22,20,2.73415536625e-19,104.437,110.2862,18,19,0,0,20,-0.0851638,-0.1349658,-0.1113264,-0.1639484,0.0324315,0.0183007,0.0193133,0.0321988,0.0171368,0,0,6.48e-5,0.1129778,4.3e-4,TRUE,0,0.999999999956231,4.38195646464379e-11,rs12595616,-0.0049973,0.0049771,0.3286568,<0.001,0.15894382,0,0,0.011162977777777779,FALSE
VPS28,T2D_GSMR,0.0374881,0.00509466,1.86253e-13,31,1.729413885294118e-11,80.33086,119.61883,29,30,1e-6,0,31,0.0210654,0.0372824,0.0571932,0.049017,0.0123308,0.0087398,0.0092952,0.0151396,0.0982552,1.99e-5,0,0.0029383,0.2753971,3.784e-4,TRUE,0,1,3.89884116603826e-16,rs3735840,0.0118388,0.0031435,7.521e-4,<0.001,0.304523252173913,8.841796407185627e-5,0,0.06301923157894737,FALSE
VPS41,T2D_GSMR,0.0408753,0.0147954,0.00573233,13,0.032325594125,11.96841,22.95294,11,12,0.3660226,0.0281281,13,0.1103275,0.0534495,0.0278784,0.0549534,0.0292361,0.0184717,0.0178582,0.0342311,0.0030807,0.0038086,0.1184997,0.1343924,0.0415039,3.69e-5,TRUE,0,0.0100222055929745,0.0160951183475008,rs757685,-0.0107321,0.0033777,0.0088022,0.043,0.08022972631578948,0.006726525564803804,0.1349605178818112,0.24992270877192982,FALSE
VPS52,T2D_GSMR,-0.0783644,0.0235761,8.87705e-4,3,0.007526816521933751,5.068071,6.785206,2,3,0.0793382,0.0790684,4,-0.0484613,-0.0836494,-0.0984335,-0.0684468,0.0690809,0.0261405,0.0311468,0.0355681,0.5556222,0.0013743,0.001576,0.1499903,0.0174723,3.89e-5,TRUE,0,0.984079055547823,9.8574819541679e-4,rs1800837,-0.0063371,0.0076983,0.496939,0.202,0.7276040222222222,0.0029904123167155423,0.0036260217054263563,0.26561528066825774,FALSE
VPS53,T2D_GSMR,-0.0271464,0.00612237,9.25178e-6,24,1.6378244557009347e-4,39.43176,41.14911,25,26,0.0333287,0.0299786,27,-0.0353256,-0.0274749,-0.0272565,-0.0098357,0.0099358,0.0080835,0.0062492,0.0161472,0.0015361,6.766e-4,1.29e-5,0.5477238,0.2569949,9.5e-5,TRUE,0,0.999297086441914,4.85623480808488e-6,rs4968120,0.0025955,0.0024874,0.3067201,0.023,0.061610064864864866,0.0016960716216216213,7.596666666666668e-5,0.6345215606557376,FALSE
VRK1,T2D_GSMR,0.0372572,0.0144394,0.00987297,3,0.04913657323699422,4.599565,6.110206,4,5,0.3309043,0.2956427,6,0.0618435,0.0336868,0.0326536,0.0455647,0.0287541,0.0140698,0.0137623,0.0270543,0.0978965,0.016654,0.0176593,0.1529625,0.0452218,2.06e-5,TRUE,0,0.0282687433653265,0.00205908983588689,rs12878184,-0.0060167,0.0052494,0.3156281,0.502,0.304523252173913,0.02333761661945231,0.026152839442231075,0.26817209999999997,FALSE
WAPAL,T2D_GSMR,0.0984632,0.0270861,2.77777e-4,5,0.002932916351170568,1.189815,1.434918,2,3,0.5516135,0.6973705,4,-0.0354897,0.0929853,0.0854538,0.0958404,0.2455208,0.0265435,0.0245409,0.0471635,0.8983185,4.598e-4,4.975e-4,0.13507160000000001,0.011786,1.81e-5,TRUE,0,0.999999937078572,4.08726605077552e-9,rs7075426,0.0152362,0.0307754,0.6695877,0.725,0.9461353115684882,0.001233893670886076,0.0014795390781563126,0.25055781800000004,FALSE
WARS,T2D_GSMR,-0.0154997,0.00488141,0.0014971,31,0.011471710436893202,62.23605,70.92556,30,31,4.895e-4,5.78e-5,32,-0.0052327,-0.0157058,-0.0232957,-0.0085808,0.0110583,0.0070294,0.0069971,0.0132003,0.6395001,0.0254624,8.705e-4,0.5204522,0.2982584,1.278e-4,TRUE,0,0.999999999865395,5.7776733734848594e-11,rs941928,-0.0052988,0.002589,0.0495446,<0.001,0.7728160817589578,0.03364755262689226,0.0023445045372050815,0.610554201422925,FALSE
WBP1L,T2D_GSMR,-0.140959,0.0235991,2.32844e-9,5,9.672217210526315e-8,6.537739,6.771921,3,4,0.088186,0.1484433,5,-0.1041042,-0.1130596,-0.1403604,-0.1298521,0.1143474,0.0244318,0.0255879,0.0415598,0.4297251,3.7e-6,0,0.0353737,0.0183994,8e-5,TRUE,0,0.999782598214877,1.2863874054168e-4,rs7080587,-0.0043355,0.0132257,0.7645994,0.316,0.6463038014184397,2.0564794007490638e-5,0,0.15032284,FALSE
WDR45B,T2D_GSMR,0.0248297,0.00604108,3.95401e-5,16,5.614457077961019e-4,28.41619,28.55768,12,13,0.0048063,0.0075594,14,0.0306657,0.0325685,0.0273362,0.0262013,0.0160391,0.0073234,0.0081569,0.0120969,0.080053,8.7e-6,8.043e-4,0.0494927,0.2371245,7.38e-5,TRUE,0,0.133990256184024,0.58070268169632,rs4789816,-0.0011308,0.0046262,0.8110203,0.036,0.2916343012224939,4.260990099009901e-5,0.002178067883211679,0.1667211746031746,FALSE
WDR41,T2D_GSMR,-0.0274034,0.00474296,7.5725e-9,43,2.834748913043478e-7,186.1703,212.2489,44,45,0,0,46,-0.0099204,-0.027161,-0.033379,-0.02701,0.012501,0.0059347,0.0086416,0.0086701,0.4317039,4.7e-6,1.122e-4,0.0031947,0.4653602,3.726e-4,TRUE,0,1,3.1924390704143893e-43,rs441102,-0.0069557,0.0028018,0.0169278,<0.001,0.647515575,2.564264705882353e-5,4.475935483870968e-4,0.06301923157894737,FALSE
WDR59,T2D_GSMR,0.0667585,0.025264000000000002,0.00823109,5,0.0432297075,12.68068,12.92804,3,4,0.0053806,0.0116328,5,0.0308861,0.0714591,0.0626746,0.0582981,0.1392613,0.027973,0.0403207,0.0499527,0.8387207,0.0106316,0.1200887,0.308012,0.0142609,2.79e-5,TRUE,0,0.999999380817066,4.52955152881972e-8,rs4548900,0.0035432,0.0146469,0.824443,0.1,0.9127025862371889,0.01581486012024048,0.1365606366283525,0.4147820399274047,FALSE
WDR52,T2D_GSMR,-0.0743325,0.0180965,3.99856e-5,7,5.6522928e-4,12.70046,20.78145,8,9,0.1225798,0.013657,10,-0.0094979,-0.0855643,-0.0860588,-0.0989156,0.0382223,0.0172764,0.0212137,0.0345605,0.8100142,7e-7,4.98e-5,0.0187161,0.0351893,7.8e-5,TRUE,0,0.999024619461969,8.8277981847034e-4,rs2054823,-0.0115974,0.0051403,0.0540463,0.05,0.8959266854166668,4.9942307692307696e-6,2.2951304347826085e-4,0.12806647706422017,FALSE
WFS1,T2D_GSMR,0.0755214,0.0181366,3.12663e-5,6,4.648714714285715e-4,153.4985,193.3147,5,6,0,0,7,0.0165916,0.0610671,0.184444,0.1047078,0.1663114,0.0199353,0.0789292,0.035524,0.9244098,0.0021894,0.0194481,0.0256954,0.035611,4.857e-4,TRUE,0,0.999999996610484,3.3894990058468703e-9,rs13107806,0.026465,0.0232385,0.3063745,<0.001,0.9605118394405594,0.0043320928,0.028184551171875,0.14120205839416058,FALSE
WDR60,T2D_GSMR,-0.0181532,0.0064644,0.00498222,33,0.02914552539839407,54.09623,54.10115,35,36,0.0206495,0.0268196,37,-0.010386,-0.0094908,-0.0108284,-0.0104482,0.0104051,0.0085915,0.0067493,0.0151166,0.3250513,0.2693009,0.1086285,0.4938894,0.2621458,7.89e-5,TRUE,0,0.00553207102847982,8.5546255143067e-4,rs10282118,-1.095e-4,0.0019389,0.9552998,0.03,0.5692424734982332,0.28444308583629896,0.1244823891891892,0.5888124610441767,FALSE
WDR86,T2D_GSMR,0.0157851,0.00601139,0.00864298,31,0.044828950481927705,36.46564,37.12794,29,30,0.160391,0.1734448,31,0.0247073,0.0145177,0.0171149,0.0168111,0.0118774,0.0069869,0.0055793,0.0113332,0.0464512,0.0377245,0.0021581,0.1484142,0.2951343,6.5e-5,TRUE,0,0.965996234478579,1.13741713894085e-5,rs12703130,-0.0020545,0.0028309,0.473811,0.193,0.23892451349480964,0.047443354237288134,0.004614726801152738,0.2653122344163658,FALSE
WEE1,T2D_GSMR,0.0626722,0.0182298,5.86245e-4,6,0.005438125754162586,30.76892,30.76912,5,6,1.04e-5,2.81e-5,7,0.0344315,0.0469245,0.0348479,0.0320676,0.0800569,0.0185631,0.0313649,0.0535354,0.6850381,0.0114766,0.2665468,0.5710822,0.0354927,4.91e-5,TRUE,0,0.978838867373823,4.0855847771693e-4,rs72855506,6.2e-5,0.0107606,0.9956272,0.005,0.8126271306155076,0.01686676198019802,0.282539608,0.6554415969064191,FALSE
WIPI1,T2D_GSMR,0.0147542,0.00566928,0.00925505,27,0.04684905320684127,55.61778,56.75744,26,27,6.321e-4,6.903e-4,28,0.0019624,0.0215114,0.0101239,0.0189159,0.0131743,0.0074476,0.0069064,0.0163528,0.8827345,0.0038725,0.1426828,0.2575118,0.2197763,8.14e-5,TRUE,0,0.987131467350433,6.77938432324205e-5,rs28449485,0.0026175,0.003586,0.4719718,0.005,0.9366380480000001,0.00679135867768595,0.15872659310344828,0.3665580923371648,FALSE
WIPI2,T2D_GSMR,0.0224298,0.00716073,0.00173424,24,0.012802016399064692,54.77563,61.23015,22,23,1.278e-4,2.53e-5,24,0.0072139,0.0347776,0.0302534,0.0242703,0.0171041,0.0093295,0.0096885,0.0150641,0.6772878,1.932e-4,0.0017927,0.1207912,0.1806709,1.165e-4,TRUE,0,0.948867449904592,1.5532055762486e-4,rs13244634,0.0055402,0.0034409,0.121635,0.001,0.8060105013632719,5.973100000000001e-4,0.004018680966767372,0.23868727137150464,FALSE
XKR6,T2D_GSMR,-0.122723,0.0222326,3.3907e-8,9,1.107355851724138e-6,49.20012,64.90604,7,8,0,0,9,0.0642778,-0.1213575,-0.1084429,-0.1866078,0.1232771,0.0237289,0.0461721,0.0511601,0.6181668,3e-7,0.0188408,0.0065176,0.0284552,1.559e-4,TRUE,0,0.999999802655472,1.97321868315999e-7,rs4618656,-0.0232685,0.0155658,0.1786034,<0.001,0.7593979409240924,2.3935483870967743e-6,0.027438417271835134,0.0871362018018018,FALSE
XRN1,T2D_GSMR,-0.0731868,0.0225449,0.00116927,5,0.009460647412467976,1.988565,2.028299,3,4,0.57478340000000006,0.7305538,5,-0.0812321,-0.0707942,-0.0678874,-0.0799338,0.0699965,0.0243649,0.0204343,0.0343977,0.3297983,0.0036657,8.93e-4,0.0807979,0.0163387,1.77e-5,TRUE,0,0.00666968103945636,0.015839447276484,rs2306700,0.0018262,0.0091616,0.8547486,0.796,0.5724218446783625,0.006522660431654677,0.0023791956912028725,0.20279419296482412,FALSE
XRRA1,T2D_GSMR,-0.013854,0.00425722,0.00113693,52,0.009250742293814434,86.72982,91.24299,48,49,5.21e-4,2.365e-4,50,-0.0171266,-0.0056027,-0.0077029,-0.0063842,0.0078452,0.0056276,0.0051757,0.0103222,0.0339533,0.3194566,0.1366756,0.5391179,0.3990582,1.275e-4,TRUE,0,0.997978110925218,1.39478458638034e-5,rs61894839,0.0031214,0.0019751,0.1205749,0.002,0.20908143734439835,0.3331508042164441,0.15261594462001507,0.6274909518431373,FALSE
YBEY,T2D_GSMR,-0.0228384,0.00425975,8.25596e-8,36,2.4981532638977635e-6,67.8829,71.94323,35,36,7.139e-4,3.457e-4,37,-0.0251252,-0.0266919,-0.0136312,-0.0305681,0.0095026,0.0064421,0.0052933,0.0171984,0.0121787,3.42e-5,0.010019,0.0839564,0.5056776,1.264e-4,TRUE,0,0.999561757595059,4.2658806536207e-4,rs62224180,0.0042994,0.0029715,0.1568261,<0.001,0.14617166299212597,1.405894736842105e-4,0.016284990142387733,0.20396173594771239,FALSE
